Year,Location,Opioid Overdose Death Rate Age Adjusted,All Drug Overdose Death Rate Age Adjusted
2017,United States,14.9,21.7
2017,Alabama,9,18
2017,Alaska,13.9,20.2
2017,Arizona,13.5,22.2
2017,Arkansas,6.5,15.5
2017,California,5.3,11.7
2017,Colorado,10,17.6
2017,Connecticut,27.7,30.9
2017,Delaware,27.8,37
2017,District of Columbia,34.7,44
2017,Florida,16.3,25.1
2017,Georgia,9.7,14.7
2017,Hawaii,3.4,13.8
2017,Idaho,6.2,14.4
2017,Illinois,17.2,21.6
2017,Indiana,18.8,29.4
2017,Iowa,6.9,11.5
2017,Kansas,5.1,11.8
2017,Kentucky,27.9,37.2
2017,Louisiana,9.3,24.5
2017,Maine,29.9,34.4
2017,Maryland,32.2,36.3
2017,Massachusetts,28.2,31.8
2017,Michigan,21.2,27.8
2017,Minnesota,7.8,13.3
2017,Mississippi,6.4,12.2
2017,Missouri,16.5,23.4
2017,Montana,3.6,11.7
2017,Nebraska,3.1,8.1
2017,Nevada,13.3,21.6
2017,New Hampshire,34,37
2017,New Jersey,22,30
2017,New Mexico,16.7,24.8
2017,New York,16.1,19.4
2017,North Carolina,19.8,24.1
2017,North Dakota,4.8,9.2
2017,Ohio,39.2,46.3
2017,Oklahoma,10.2,20.1
2017,Oregon,8.1,12.4
2017,Pennsylvania,21.2,44.3
2017,Rhode Island,26.9,31
2017,South Carolina,15.5,20.5
2017,South Dakota,4,8.5
2017,Tennessee,19.3,26.6
2017,Texas,5.1,10.5
2017,Utah,15.5,22.3
2017,Vermont,20,23.2
2017,Virginia,14.8,17.9
2017,Washington,9.6,15.2
2017,West Virginia,49.6,57.8
2017,Wisconsin,16.9,21.2
2017,Wyoming,8.7,12.2
